Date,close,Close,Open,High,Low,Volume,OpenInt
2/11/2014,38.186,381.86,37.501,38.512,37.462,6074152,0
2/12/2014,38.512,385.12,38.261,38.612,38.111,3854822,0
2/13/2014,38.973,389.73,38.434,39.048,38.324,3355797,0
2/14/2014,38.729,387.29,38.871,39.123,38.69,2870885,0
2/18/2014,38.729,387.29,38.832,39.303,38.69,2945075,0
2/19/2014,38.58,385.8,38.65,39.193,38.512,3073178,0
2/20/2014,38.792,387.92,38.69,39.013,38.151,3134207,0
2/21/2014,38.792,387.92,38.832,39.048,38.729,2924370,0
2/24/2014,38.942,389.42,38.832,39.193,38.729,2510565,0
2/25/2014,38.544,385.44,38.871,39.233,38.474,2993758,0
2/26/2014,38.832,388.32,38.65,39.339,38.359,3600418,0
2/27/2014,39.733,397.33,38.69,40.064,38.69,3946394,0
2/28/2014,39.701,397.01,39.701,40.064,39.303,3266453,0
3/3/2014,39.269,392.69,39.445,39.662,38.871,2630072,0
3/4/2014,39.954,399.54,39.662,40.244,39.662,2678593,0
3/5/2014,39.445,394.45,39.882,40.134,39.375,3397163,0
3/6/2014,40.064,400.64,39.662,40.244,39.445,2119037,0
3/7/2014,39.481,394.81,40.206,40.382,39.339,2593944,0
3/10/2014,39.193,391.93,39.375,39.631,38.973,1661368,0
3/11/2014,38.76,387.6,39.193,39.411,38.69,1928766,0
3/12/2014,38.973,389.73,38.512,39.269,38.474,2635850,0
3/13/2014,38.288,382.88,39.013,39.087,37.927,2813690,0
3/14/2014,38.288,382.88,38.225,38.65,38.151,2349274,0
3/17/2014,38.729,387.29,38.434,38.832,38.394,1964252,0
3/18/2014,39.193,391.93,38.792,39.517,38.792,1881904,0
3/19/2014,38.729,387.29,39.233,39.233,38.434,2407701,0
3/20/2014,39.591,395.91,38.729,40.099,38.65,2979629,0
3/21/2014,40.461,404.61,40.272,40.639,39.843,7688491,0
3/24/2014,39.662,396.62,40.603,40.713,38.832,4570611,0
3/25/2014,39.918,399.18,39.882,40.099,39.375,3641247,0
3/26/2014,39.556,395.56,40.064,40.272,39.375,2397856,0
3/27/2014,39.639,396.39,39.418,39.855,39.095,2614960,0
3/28/2014,40.182,401.82,39.674,40.619,39.453,3095792,0
